,CWD_Status,Case_ID,Province,Sex,Species,Year
0,Positive,100,Saskatchewan,Male,Mule Deer,2000
1,Positive,101,Saskatchewan,Male,Mule Deer,2001
2,Positive,102,Saskatchewan,Male,Mule Deer,2002
3,Positive,103,Saskatchewan,Female,Mule Deer,2003
4,Positive,104,Saskatchewan,Male,Mule Deer,2004
5,Positive,105,Saskatchewan,Male,Mule Deer,2004
6,Positive,106,Saskatchewan,Female,Mule Deer,2004
7,Positive,107,Saskatchewan,Female,White-tailed Deer,2004
8,Positive,108,Saskatchewan,Male,Mule Deer,2005
9,Positive,109,Saskatchewan,Female,Mule Deer,2005
10,Positive,110,Saskatchewan,Male,Mule Deer,2006
11,Positive,111,Saskatchewan,Male,Mule Deer,2006
12,Positive,112,Saskatchewan,Female,Mule Deer,2006
13,Positive,113,Saskatchewan,Male,Mule Deer,2006
14,Positive,15,Alberta,Female,Mule Deer,2006
15,Positive,16,Alberta,Female,Mule Deer,2006
16,Positive,17,Alberta,Male,Mule Deer,2006
17,Positive,21,Alberta,Female,Mule Deer,2007
18,Positive,22,Alberta,Female,Mule Deer,2007
19,Positive,23,Alberta,Female,Mule Deer,2007
20,Positive,24,Alberta,Female,Mule Deer,2007
21,Positive,25,Alberta,Female,Mule Deer,2007
22,Positive,26,Alberta,Female,Mule Deer,2007
23,Positive,27,Alberta,Male,White-tailed Deer,2007
24,Positive,28,Alberta,Male,Mule Deer,2007
25,Positive,29,Alberta,Male,Mule Deer,2007
26,Positive,114,Saskatchewan,Female,Mule Deer,2007
27,Positive,115,Saskatchewan,Female,Mule Deer,2007
28,Positive,116,Saskatchewan,Female,Mule Deer,2007
29,Positive,117,Saskatchewan,Male,Mule Deer,2007
30,Positive,118,Saskatchewan,Female,Mule Deer,2007
31,Positive,119,Saskatchewan,Female,White-tailed Deer,2007
32,Positive,120,Saskatchewan,Female,White-tailed Deer,2007
33,Positive,121,Saskatchewan,Female,Mule Deer,2007
34,Positive,30,Alberta,Female,Mule Deer,2007
35,Positive,32,Alberta,Male,Mule Deer,2007
36,Positive,34,Alberta,Male,Mule Deer,2007
37,Positive,36,Alberta,Male,White-tailed Deer,2007
38,Positive,45,Alberta,Male,Mule Deer,2008
39,Positive,48,Alberta,Male,Mule Deer,2008
40,Positive,49,Alberta,Female,White-tailed Deer,2008
41,Positive,50,Alberta,Female,Mule Deer,2008
42,Positive,51,Alberta,Female,Mule Deer,2008
43,Positive,52,Alberta,Female,White-tailed Deer,2008
44,Positive,53,Alberta,Male,Mule Deer,2008
45,Positive,122,Saskatchewan,Female,Mule Deer,2008
46,Positive,123,Saskatchewan,Female,Mule Deer,2008
47,Positive,124,Saskatchewan,Female,Mule Deer,2008
48,Positive,125,Saskatchewan,Male,Mule Deer,2008
49,Positive,126,Saskatchewan,Male,Mule Deer,2008
50,Positive,127,Saskatchewan,Male,Mule Deer,2008
51,Positive,128,Saskatchewan,Female,Mule Deer,2008
52,Positive,129,Saskatchewan,Male,Mule Deer,2008
53,Positive,130,Saskatchewan,Female,Mule Deer,2008
54,Positive,131,Saskatchewan,Male,Mule Deer,2008
55,Positive,132,Saskatchewan,Female,Mule Deer,2008
56,Positive,133,Saskatchewan,Female,Mule Deer,2008
57,Positive,134,Saskatchewan,Female,Mule Deer,2008
58,Positive,56,Alberta,Female,Mule Deer,2008
59,Positive,59,Alberta,Male,Mule Deer,2008
60,Positive,60,Alberta,Male,Mule Deer,2008
61,Positive,61,Alberta,Male,Mule Deer,2008
62,Positive,135,Saskatchewan,Female,Mule Deer,2009
63,Positive,136,Saskatchewan,Female,Mule Deer,2009
64,Positive,137,Saskatchewan,Female,Mule Deer,2009
65,Positive,138,Saskatchewan,Female,Mule Deer,2009
66,Positive,139,Saskatchewan,Male,Mule Deer,2009
67,Positive,140,Saskatchewan,Female,Mule Deer,2009
68,Positive,141,Saskatchewan,Female,Mule Deer,2009
69,Positive,65,Alberta,Male,Mule Deer,2009
70,Positive,66,Alberta,Female,Mule Deer,2009
71,Positive,68,Alberta,Male,Mule Deer,2009
72,Positive,69,Alberta,Female,Mule Deer,2009
73,Positive,70,Alberta,Male,Mule Deer,2009
74,Positive,71,Alberta,Male,Mule Deer,2009
75,Positive,72,Alberta,Male,Mule Deer,2009
76,Positive,73,Alberta,Male,White-tailed Deer,2009
77,Positive,74,Alberta,Male,Mule Deer,2009
78,Positive,75,Alberta,Male,Mule Deer,2010
79,Positive,142,Saskatchewan,Female,Mule Deer,2010
80,Positive,143,Saskatchewan,Female,Mule Deer,2010
81,Positive,144,Saskatchewan,Female,Mule Deer,2010
82,Positive,145,Saskatchewan,Female,Mule Deer,2010
83,Positive,146,Saskatchewan,Female,Mule Deer,2010
84,Positive,147,Saskatchewan,Female,Mule Deer,2010
85,Positive,148,Saskatchewan,Female,Mule Deer,2010
86,Positive,149,Saskatchewan,Female,Mule Deer,2010
87,Positive,150,Saskatchewan,Male,Mule Deer,2010
88,Positive,151,Saskatchewan,Male,Mule Deer,2010
89,Positive,76,Alberta,Male,White-tailed Deer,2010
90,Positive,78,Alberta,Male,Mule Deer,2010
91,Positive,79,Alberta,Female,Mule Deer,2010
92,Positive,82,Alberta,Female,Mule Deer,2010
93,Positive,83,Alberta,Female,Mule Deer,2010
94,Positive,84,Alberta,Male,White-tailed Deer,2010
95,Positive,88,Alberta,Male,Mule Deer,2010
96,Positive,89,Alberta,Male,Mule Deer,2010
97,Positive,90,Alberta,Male,Mule Deer,2010
98,Positive,91,Alberta,Male,Mule Deer,2010
99,Positive,92,Alberta,Male,Mule Deer,2010
100,Positive,93,Alberta,Male,Mule Deer,2010
101,Positive,94,Alberta,Male,Mule Deer,2010
102,Negative,30014,Saskatchewan,Male,Mule Deer,2005
103,Negative,30015,Saskatchewan,Female,Mule Deer,2005
104,Negative,30017,Saskatchewan,Male,Mule Deer,2005
105,Negative,30018,Saskatchewan,Female,Mule Deer,2005
106,Negative,30019,Saskatchewan,Female,Mule Deer,2005
107,Negative,30020,Saskatchewan,Female,Mule Deer,2005
108,Negative,30021,Saskatchewan,Female,Mule Deer,2005
109,Negative,30022,Saskatchewan,Female,Mule Deer,2005
110,Negative,30023,Saskatchewan,Female,Mule Deer,2005
111,Negative,30024,Saskatchewan,Female,Mule Deer,2005
112,Negative,30025,Saskatchewan,Male,Mule Deer,2005
113,Negative,30026,Saskatchewan,Female,Mule Deer,2005
114,Negative,30027,Saskatchewan,Female,Mule Deer,2005
115,Negative,30028,Saskatchewan,Female,Mule Deer,2005
116,Negative,30029,Saskatchewan,Female,Mule Deer,2005
117,Negative,30030,Saskatchewan,Female,Mule Deer,2005
118,Negative,30031,Saskatchewan,Female,Mule Deer,2005
119,Negative,30032,Saskatchewan,Female,Mule Deer,2005
120,Negative,30033,Saskatchewan,Female,Mule Deer,2005
121,Negative,30034,Saskatchewan,Female,Mule Deer,2005
122,Negative,30035,Saskatchewan,Female,Mule Deer,2005
123,Negative,30036,Saskatchewan,Female,Mule Deer,2005
124,Negative,30037,Saskatchewan,Female,Mule Deer,2005
125,Negative,30038,Saskatchewan,Female,Mule Deer,2005
126,Negative,30039,Saskatchewan,Female,Mule Deer,2005
127,Negative,30040,Saskatchewan,Male,Mule Deer,2005
128,Negative,30041,Saskatchewan,Female,Mule Deer,2005
129,Negative,30042,Saskatchewan,Female,Mule Deer,2005
130,Negative,30043,Saskatchewan,Female,Mule Deer,2005
131,Negative,30044,Saskatchewan,Female,Mule Deer,2005
132,Negative,30045,Saskatchewan,Female,Mule Deer,2005
133,Negative,30046,Saskatchewan,Female,Mule Deer,2005
134,Negative,30047,Saskatchewan,Female,Mule Deer,2005
135,Negative,30049,Saskatchewan,Female,Mule Deer,2005
136,Negative,30050,Saskatchewan,Female,Mule Deer,2005
137,Negative,30051,Saskatchewan,Male,Mule Deer,2005
138,Negative,30052,Saskatchewan,Female,Mule Deer,2005
139,Negative,30053,Saskatchewan,Female,Mule Deer,2005
140,Negative,30054,Saskatchewan,Female,Mule Deer,2005
141,Negative,30055,Saskatchewan,Female,Mule Deer,2005
142,Negative,30056,Saskatchewan,Male,Mule Deer,2005
143,Negative,30057,Saskatchewan,Female,Mule Deer,2005
144,Negative,30058,Saskatchewan,Female,Mule Deer,2005
145,Negative,30059,Saskatchewan,Male,Mule Deer,2005
146,Negative,30060,Saskatchewan,Female,Mule Deer,2005
147,Negative,30061,Saskatchewan,Female,Mule Deer,2005
148,Negative,30062,Saskatchewan,Female,Mule Deer,2005
149,Negative,30063,Saskatchewan,Female,Mule Deer,2005
150,Negative,30064,Saskatchewan,Female,Mule Deer,2005
151,Negative,30065,Saskatchewan,Female,Mule Deer,2005
152,Negative,30066,Saskatchewan,Female,Mule Deer,2005
153,Negative,30067,Saskatchewan,Female,Mule Deer,2005
154,Negative,30068,Saskatchewan,Female,Mule Deer,2005
155,Negative,30069,Saskatchewan,Female,Mule Deer,2005
156,Negative,30070,Saskatchewan,Female,Mule Deer,2005
157,Negative,30071,Saskatchewan,Female,Mule Deer,2005
158,Negative,30072,Saskatchewan,Female,Mule Deer,2005
159,Negative,30073,Saskatchewan,Female,Mule Deer,2005
160,Negative,30074,Saskatchewan,Female,Mule Deer,2005
161,Negative,30075,Saskatchewan,Female,Mule Deer,2005
162,Negative,30076,Saskatchewan,Female,Mule Deer,2005
163,Negative,30077,Saskatchewan,Female,Mule Deer,2005
164,Negative,30078,Saskatchewan,Female,Mule Deer,2005
165,Negative,30079,Saskatchewan,Female,Mule Deer,2005
166,Negative,30080,Saskatchewan,Female,Mule Deer,2005
167,Negative,30081,Saskatchewan,Female,Mule Deer,2005
168,Negative,30082,Saskatchewan,Female,Mule Deer,2005
169,Negative,30083,Saskatchewan,Female,Mule Deer,2005
170,Negative,30084,Saskatchewan,Female,Mule Deer,2005
171,Negative,30085,Saskatchewan,Female,Mule Deer,2005
172,Negative,30086,Saskatchewan,Female,Mule Deer,2005
173,Negative,30087,Saskatchewan,Female,Mule Deer,2005
174,Negative,30088,Saskatchewan,Female,Mule Deer,2005
175,Negative,30089,Saskatchewan,Male,Mule Deer,2005
176,Negative,30090,Saskatchewan,Female,Mule Deer,2005
177,Negative,30091,Saskatchewan,Female,Mule Deer,2005
178,Negative,30092,Saskatchewan,Female,Mule Deer,2005
179,Negative,30093,Saskatchewan,Female,Mule Deer,2005
180,Negative,30094,Saskatchewan,Female,Mule Deer,2005
181,Negative,30095,Saskatchewan,Female,Mule Deer,2005
182,Negative,30096,Saskatchewan,Male,Mule Deer,2005
183,Negative,30097,Saskatchewan,Female,Mule Deer,2005
184,Negative,30098,Saskatchewan,Female,Mule Deer,2005
185,Negative,30099,Saskatchewan,Female,Mule Deer,2005
186,Negative,30100,Saskatchewan,Female,Mule Deer,2005
187,Negative,30101,Saskatchewan,Male,Mule Deer,2005
188,Negative,30102,Saskatchewan,Female,Mule Deer,2005
189,Negative,30103,Saskatchewan,Female,Mule Deer,2005
190,Negative,30104,Saskatchewan,Male,Mule Deer,2005
191,Negative,30105,Saskatchewan,Female,Mule Deer,2005
192,Negative,30106,Saskatchewan,Male,Mule Deer,2005
193,Negative,30107,Saskatchewan,Female,Mule Deer,2005
194,Negative,30108,Saskatchewan,Female,Mule Deer,2005
195,Negative,30109,Saskatchewan,Female,Mule Deer,2005
196,Negative,30110,Saskatchewan,Female,Mule Deer,2005
197,Negative,30111,Saskatchewan,Female,Mule Deer,2005
198,Negative,30112,Saskatchewan,Female,Mule Deer,2005
199,Negative,30113,Saskatchewan,Female,Mule Deer,2005
200,Negative,30114,Saskatchewan,Male,Mule Deer,2005
201,Negative,30115,Saskatchewan,Female,Mule Deer,2005
202,Negative,30116,Saskatchewan,Female,Mule Deer,2005
203,Negative,30117,Saskatchewan,Female,Mule Deer,2005
204,Negative,30118,Saskatchewan,Female,Mule Deer,2005
205,Negative,30119,Saskatchewan,Female,Mule Deer,2005
206,Negative,30120,Saskatchewan,Female,Mule Deer,2005
207,Negative,30121,Saskatchewan,Female,Mule Deer,2005
208,Negative,30122,Saskatchewan,Female,Mule Deer,2005
209,Negative,30123,Saskatchewan,Female,Mule Deer,2005
210,Negative,30124,Saskatchewan,Female,Mule Deer,2005
211,Negative,30125,Saskatchewan,Male,Mule Deer,2005
212,Negative,30126,Saskatchewan,Female,Mule Deer,2005
213,Negative,30127,Saskatchewan,Male,Mule Deer,2005
214,Negative,30128,Saskatchewan,Female,Mule Deer,2005
215,Negative,30129,Saskatchewan,Female,Mule Deer,2005
216,Negative,30130,Saskatchewan,Female,Mule Deer,2005
217,Negative,30131,Saskatchewan,Male,Mule Deer,2005
218,Negative,30132,Saskatchewan,Female,Mule Deer,2005
219,Negative,30133,Saskatchewan,Female,Mule Deer,2005
220,Negative,30134,Saskatchewan,Female,Mule Deer,2005
221,Negative,30135,Saskatchewan,Female,Mule Deer,2005
222,Negative,30136,Saskatchewan,Female,Mule Deer,2005
223,Negative,30137,Saskatchewan,Female,Mule Deer,2005
224,Negative,30138,Saskatchewan,Female,Mule Deer,2005
225,Negative,30139,Saskatchewan,Male,Mule Deer,2005
226,Negative,30140,Saskatchewan,Female,Mule Deer,2005
227,Negative,30141,Saskatchewan,Male,Mule Deer,2005
228,Negative,30142,Saskatchewan,Male,Mule Deer,2005
229,Negative,30143,Saskatchewan,Female,Mule Deer,2005
230,Negative,30144,Saskatchewan,Female,Mule Deer,2005
231,Negative,30145,Saskatchewan,Female,Mule Deer,2005
232,Negative,30146,Saskatchewan,Female,Mule Deer,2005
233,Negative,30147,Saskatchewan,Female,Mule Deer,2005
234,Negative,30148,Saskatchewan,Female,Mule Deer,2005
235,Negative,30149,Saskatchewan,Female,Mule Deer,2005
236,Negative,30150,Saskatchewan,Female,Mule Deer,2005
237,Negative,30151,Saskatchewan,Female,Mule Deer,2005
238,Negative,30152,Saskatchewan,Female,Mule Deer,2005
239,Negative,30153,Saskatchewan,Female,Mule Deer,2005
240,Negative,30154,Saskatchewan,Male,Mule Deer,2005
241,Negative,30155,Saskatchewan,Female,Mule Deer,2005
242,Negative,30156,Saskatchewan,Female,Mule Deer,2005
243,Negative,30157,Saskatchewan,Female,Mule Deer,2005
244,Negative,30158,Saskatchewan,Female,Mule Deer,2005
245,Negative,30159,Saskatchewan,Male,Mule Deer,2005
246,Negative,30160,Saskatchewan,Female,Mule Deer,2005
247,Negative,30161,Saskatchewan,Male,Mule Deer,2005
248,Negative,30162,Saskatchewan,Female,Mule Deer,2005
249,Negative,30163,Saskatchewan,Female,Mule Deer,2005
250,Negative,30164,Saskatchewan,Female,Mule Deer,2005
251,Negative,30165,Saskatchewan,Female,Mule Deer,2005
252,Negative,30166,Saskatchewan,Female,Mule Deer,2005
253,Negative,30167,Saskatchewan,Female,Mule Deer,2005
254,Negative,30168,Saskatchewan,Female,Mule Deer,2005
255,Negative,30169,Saskatchewan,Female,Mule Deer,2005
256,Negative,30170,Saskatchewan,Female,Mule Deer,2005
257,Negative,30171,Saskatchewan,Female,Mule Deer,2005
258,Negative,30172,Saskatchewan,Female,Mule Deer,2005
259,Negative,30173,Saskatchewan,Female,Mule Deer,2005
260,Negative,30174,Saskatchewan,Female,Mule Deer,2005
261,Negative,30175,Saskatchewan,Female,Mule Deer,2005
262,Negative,30176,Saskatchewan,Female,Mule Deer,2005
263,Negative,30177,Saskatchewan,Female,Mule Deer,2005
264,Negative,30178,Saskatchewan,Female,Mule Deer,2005
265,Negative,30179,Saskatchewan,Male,Mule Deer,2005
266,Negative,30180,Saskatchewan,Female,Mule Deer,2005
267,Negative,30181,Saskatchewan,Male,Mule Deer,2005
268,Negative,30182,Saskatchewan,Female,Mule Deer,2005
269,Negative,30183,Saskatchewan,Male,Mule Deer,2005
270,Negative,30184,Saskatchewan,Male,Mule Deer,2005
271,Negative,30185,Saskatchewan,Male,Mule Deer,2005
272,Negative,30186,Saskatchewan,Female,Mule Deer,2005
273,Negative,30187,Saskatchewan,Female,Mule Deer,2005
274,Negative,30188,Saskatchewan,Female,Mule Deer,2005
275,Negative,30189,Saskatchewan,Female,Mule Deer,2005
276,Negative,30190,Saskatchewan,Female,Mule Deer,2005
277,Negative,30191,Saskatchewan,Female,Mule Deer,2005
278,Negative,30192,Saskatchewan,Female,Mule Deer,2005
279,Negative,30193,Saskatchewan,Female,Mule Deer,2005
280,Negative,30194,Saskatchewan,Male,Mule Deer,2005
281,Negative,30195,Saskatchewan,Female,Mule Deer,2005
282,Negative,30196,Saskatchewan,Female,Mule Deer,2005
283,Negative,30197,Saskatchewan,Female,Mule Deer,2005
284,Negative,30198,Saskatchewan,Female,Mule Deer,2005
285,Negative,30199,Saskatchewan,Female,Mule Deer,2005
286,Negative,30200,Saskatchewan,Male,Mule Deer,2005
287,Negative,30201,Saskatchewan,Male,Mule Deer,2005
288,Negative,30202,Saskatchewan,Male,Mule Deer,2005
289,Negative,30203,Saskatchewan,Female,Mule Deer,2005
290,Negative,30204,Saskatchewan,Male,Mule Deer,2005
291,Negative,30205,Saskatchewan,Female,Mule Deer,2005
292,Negative,30206,Saskatchewan,Female,Mule Deer,2005
293,Negative,30207,Saskatchewan,Female,Mule Deer,2005
294,Negative,30208,Saskatchewan,Female,Mule Deer,2005
295,Negative,30209,Saskatchewan,Female,Mule Deer,2005
296,Negative,30210,Saskatchewan,Female,Mule Deer,2005
297,Negative,30211,Saskatchewan,Female,Mule Deer,2005
298,Negative,30212,Saskatchewan,Male,Mule Deer,2005
299,Negative,30213,Saskatchewan,Male,Mule Deer,2005
300,Negative,30214,Saskatchewan,Male,Mule Deer,2005
301,Negative,30215,Saskatchewan,Male,Mule Deer,2005
302,Negative,30216,Saskatchewan,Male,Mule Deer,2005
303,Negative,30217,Saskatchewan,Male,Mule Deer,2005
304,Negative,30218,Saskatchewan,Male,Mule Deer,2005
305,Negative,30219,Saskatchewan,Male,Mule Deer,2005
306,Negative,30220,Saskatchewan,Male,Mule Deer,2005
307,Negative,30221,Saskatchewan,Female,Mule Deer,2005
308,Negative,30222,Saskatchewan,Female,Mule Deer,2005
309,Negative,30223,Saskatchewan,Female,Mule Deer,2005
310,Negative,30224,Saskatchewan,Female,Mule Deer,2005
311,Negative,30225,Saskatchewan,Female,Mule Deer,2005
312,Negative,30227,Saskatchewan,Male,Mule Deer,2005
313,Negative,30228,Saskatchewan,Male,Mule Deer,2005
314,Negative,30229,Saskatchewan,Male,Mule Deer,2005
315,Negative,30230,Saskatchewan,Male,Mule Deer,2005
316,Negative,30231,Saskatchewan,Female,Mule Deer,2005
317,Negative,30232,Saskatchewan,Female,Mule Deer,2005
318,Negative,30233,Saskatchewan,Female,Mule Deer,2005
319,Negative,30234,Saskatchewan,Female,Mule Deer,2005
320,Negative,30235,Saskatchewan,Female,Mule Deer,2005
321,Negative,30236,Saskatchewan,Female,Mule Deer,2005
322,Negative,30237,Saskatchewan,Male,Mule Deer,2005
323,Negative,30238,Saskatchewan,Male,Mule Deer,2005
324,Negative,30239,Saskatchewan,Female,Mule Deer,2005
325,Negative,30240,Saskatchewan,Female,Mule Deer,2005
326,Negative,30241,Saskatchewan,Male,Mule Deer,2005
327,Negative,30242,Saskatchewan,Female,Mule Deer,2005
328,Negative,30243,Saskatchewan,Male,Mule Deer,2005
329,Negative,30244,Saskatchewan,Female,Mule Deer,2005
330,Negative,30245,Saskatchewan,Male,Mule Deer,2005
331,Negative,30246,Saskatchewan,Male,Mule Deer,2005
332,Negative,30247,Saskatchewan,Male,Mule Deer,2005
333,Negative,30248,Saskatchewan,Female,Mule Deer,2005
334,Negative,30249,Saskatchewan,Female,Mule Deer,2005
335,Negative,30250,Saskatchewan,Female,Mule Deer,2005
336,Negative,30252,Saskatchewan,Female,Mule Deer,2005
337,Negative,30253,Saskatchewan,Male,Mule Deer,2005
338,Negative,30254,Saskatchewan,Female,Mule Deer,2005
339,Negative,30255,Saskatchewan,Female,Mule Deer,2005
340,Negative,30256,Saskatchewan,Female,Mule Deer,2005
341,Negative,30257,Saskatchewan,Female,Mule Deer,2005
342,Negative,30258,Saskatchewan,Male,Mule Deer,2005
343,Negative,30259,Saskatchewan,Male,Mule Deer,2005
344,Negative,30260,Saskatchewan,Male,Mule Deer,2005
345,Negative,30261,Saskatchewan,Female,Mule Deer,2005
346,Negative,30262,Saskatchewan,Female,Mule Deer,2005
347,Negative,30263,Saskatchewan,Female,Mule Deer,2005
348,Negative,30264,Saskatchewan,Female,Mule Deer,2005
349,Negative,30265,Saskatchewan,Female,Mule Deer,2005
350,Negative,30266,Saskatchewan,Female,Mule Deer,2005
351,Negative,30267,Saskatchewan,Female,Mule Deer,2005
352,Negative,30268,Saskatchewan,Female,Mule Deer,2005
353,Negative,30269,Saskatchewan,Male,Mule Deer,2005
354,Negative,30270,Saskatchewan,Female,Mule Deer,2005
355,Negative,30271,Saskatchewan,Female,Mule Deer,2005
356,Negative,30272,Saskatchewan,Female,Mule Deer,2005
357,Negative,30273,Saskatchewan,Female,Mule Deer,2005
358,Negative,30274,Saskatchewan,Female,Mule Deer,2005
359,Negative,30275,Saskatchewan,Female,Mule Deer,2005
360,Negative,30276,Saskatchewan,Female,Mule Deer,2005
361,Negative,30277,Saskatchewan,Female,Mule Deer,2005
362,Negative,30278,Saskatchewan,Female,Mule Deer,2005
363,Negative,30279,Saskatchewan,Female,Mule Deer,2005
364,Negative,30280,Saskatchewan,Female,Mule Deer,2005
365,Negative,30281,Saskatchewan,Female,Mule Deer,2005
366,Negative,30282,Saskatchewan,Female,Mule Deer,2005
367,Negative,30283,Saskatchewan,Female,Mule Deer,2005
368,Negative,30284,Saskatchewan,Female,Mule Deer,2005
369,Negative,30285,Saskatchewan,Female,Mule Deer,2005
370,Negative,30286,Saskatchewan,Female,Mule Deer,2005
371,Negative,30287,Saskatchewan,Male,Mule Deer,2005
372,Negative,30288,Saskatchewan,Female,Mule Deer,2005
373,Negative,30289,Saskatchewan,Female,Mule Deer,2005
374,Negative,30290,Saskatchewan,Female,Mule Deer,2005
375,Negative,30291,Saskatchewan,Female,Mule Deer,2005
376,Negative,30292,Saskatchewan,Female,Mule Deer,2005
377,Negative,30293,Saskatchewan,Female,Mule Deer,2005
378,Negative,30294,Saskatchewan,Female,Mule Deer,2005
379,Negative,30295,Saskatchewan,Female,Mule Deer,2005
380,Negative,30296,Saskatchewan,Female,Mule Deer,2005
381,Negative,30297,Saskatchewan,Female,Mule Deer,2005
382,Negative,30298,Saskatchewan,Female,Mule Deer,2005
383,Negative,30299,Saskatchewan,Female,Mule Deer,2005
384,Negative,30300,Saskatchewan,Female,Mule Deer,2005
385,Negative,30301,Saskatchewan,Female,Mule Deer,2005
386,Negative,30302,Saskatchewan,Female,Mule Deer,2005
387,Negative,30303,Saskatchewan,Male,Mule Deer,2005
388,Negative,30304,Saskatchewan,Female,Mule Deer,2005
389,Negative,30305,Saskatchewan,Male,Mule Deer,2005
390,Negative,30306,Saskatchewan,Female,Mule Deer,2005
391,Negative,30307,Saskatchewan,Female,Mule Deer,2005
392,Negative,30308,Saskatchewan,Male,Mule Deer,2005
393,Negative,30309,Saskatchewan,Male,Mule Deer,2005
394,Negative,30310,Saskatchewan,Female,Mule Deer,2005
395,Negative,30311,Saskatchewan,Female,Mule Deer,2005
396,Negative,30312,Saskatchewan,Female,Mule Deer,2005
397,Negative,30313,Saskatchewan,Female,Mule Deer,2005
398,Negative,30314,Saskatchewan,Male,Mule Deer,2005
399,Negative,30315,Saskatchewan,Female,Mule Deer,2005
400,Negative,30316,Saskatchewan,Female,Mule Deer,2005
401,Negative,30317,Saskatchewan,Female,Mule Deer,2005
402,Negative,30318,Saskatchewan,Male,Mule Deer,2005
403,Negative,30319,Saskatchewan,Female,Mule Deer,2005
404,Negative,30320,Saskatchewan,Female,Mule Deer,2005
405,Negative,30321,Saskatchewan,Male,Mule Deer,2005
406,Negative,30322,Saskatchewan,Female,Mule Deer,2005
407,Negative,30323,Saskatchewan,Male,Mule Deer,2005
408,Negative,30324,Saskatchewan,Female,Mule Deer,2005
409,Negative,30325,Saskatchewan,Female,Mule Deer,2005
410,Negative,30326,Saskatchewan,Female,Mule Deer,2005
411,Negative,30327,Saskatchewan,Female,Mule Deer,2005
412,Negative,30328,Saskatchewan,Female,Mule Deer,2005
413,Negative,30329,Saskatchewan,Female,Mule Deer,2005
414,Negative,30330,Saskatchewan,Female,Mule Deer,2005
415,Negative,30331,Saskatchewan,Male,Mule Deer,2005
416,Negative,30332,Saskatchewan,Female,Mule Deer,2005
417,Negative,30333,Saskatchewan,Female,Mule Deer,2005
418,Negative,30334,Saskatchewan,Female,Mule Deer,2005
419,Negative,30335,Saskatchewan,Male,Mule Deer,2005
420,Negative,30336,Saskatchewan,Female,Mule Deer,2005
421,Negative,30344,Saskatchewan,Female,White-tailed Deer,2005
422,Negative,30345,Saskatchewan,Female,White-tailed Deer,2005
423,Negative,30346,Saskatchewan,Female,White-tailed Deer,2005
424,Negative,30347,Saskatchewan,Female,White-tailed Deer,2005
425,Negative,30348,Saskatchewan,Female,White-tailed Deer,2005
426,Negative,30349,Saskatchewan,Female,White-tailed Deer,2005
427,Negative,30350,Saskatchewan,Male,White-tailed Deer,2005
428,Negative,30351,Saskatchewan,Male,White-tailed Deer,2005
429,Negative,30352,Saskatchewan,Female,White-tailed Deer,2005
430,Negative,30353,Saskatchewan,Female,White-tailed Deer,2005
431,Negative,30354,Saskatchewan,Male,White-tailed Deer,2005
432,Negative,30355,Saskatchewan,Female,White-tailed Deer,2005
433,Negative,30356,Saskatchewan,Female,White-tailed Deer,2005
434,Negative,30357,Saskatchewan,Female,White-tailed Deer,2005
435,Negative,30358,Saskatchewan,Female,White-tailed Deer,2005
436,Negative,30359,Saskatchewan,Male,White-tailed Deer,2005
437,Negative,30360,Saskatchewan,Female,White-tailed Deer,2005
438,Negative,30361,Saskatchewan,Female,White-tailed Deer,2005
439,Negative,30362,Saskatchewan,Female,White-tailed Deer,2005
440,Negative,30363,Saskatchewan,Female,White-tailed Deer,2005
441,Negative,30364,Saskatchewan,Female,White-tailed Deer,2005
442,Negative,30365,Saskatchewan,Female,White-tailed Deer,2005
443,Negative,30366,Saskatchewan,Female,White-tailed Deer,2005
444,Negative,30367,Saskatchewan,Female,White-tailed Deer,2005
445,Negative,30368,Saskatchewan,Male,White-tailed Deer,2005
446,Negative,30369,Saskatchewan,Female,White-tailed Deer,2005
447,Negative,30370,Saskatchewan,Female,White-tailed Deer,2005
448,Negative,30371,Saskatchewan,Female,White-tailed Deer,2005
449,Negative,30372,Saskatchewan,Female,White-tailed Deer,2005
450,Negative,30373,Saskatchewan,Female,White-tailed Deer,2005
451,Negative,30374,Saskatchewan,Female,White-tailed Deer,2005
452,Negative,30375,Saskatchewan,Female,White-tailed Deer,2005
453,Negative,30376,Saskatchewan,Male,White-tailed Deer,2005
454,Negative,30377,Saskatchewan,Female,White-tailed Deer,2005
455,Negative,30378,Saskatchewan,Female,White-tailed Deer,2005
456,Negative,30379,Saskatchewan,Female,White-tailed Deer,2005
457,Negative,30380,Saskatchewan,Female,White-tailed Deer,2005
458,Negative,30381,Saskatchewan,Female,White-tailed Deer,2005
459,Negative,30382,Saskatchewan,Female,White-tailed Deer,2005
460,Negative,30383,Saskatchewan,Male,White-tailed Deer,2005
461,Negative,30384,Saskatchewan,Male,White-tailed Deer,2005
462,Negative,30386,Saskatchewan,Female,White-tailed Deer,2005
463,Negative,30387,Saskatchewan,Male,White-tailed Deer,2005
464,Negative,30388,Saskatchewan,Male,White-tailed Deer,2005
465,Negative,30389,Saskatchewan,Male,White-tailed Deer,2005
466,Negative,30390,Saskatchewan,Female,White-tailed Deer,2005
467,Negative,30391,Saskatchewan,Female,White-tailed Deer,2005
468,Negative,30392,Saskatchewan,Male,White-tailed Deer,2005
469,Negative,30393,Saskatchewan,Female,White-tailed Deer,2005
