,CWD_Status,Case_ID,Province,Sex,Species,Year
14824,Negative,17833,Alberta,Male,Mule Deer,2009
14825,Negative,17883,Alberta,Male,Mule Deer,2009
14826,Negative,17915,Alberta,Male,Mule Deer,2009
14827,Negative,18103,Alberta,Male,Mule Deer,2009
14828,Negative,18265,Alberta,Male,Mule Deer,2009
14829,Negative,18435,Alberta,Male,Mule Deer,2009
14830,Negative,18450,Alberta,Male,Mule Deer,2009
14831,Negative,18470,Alberta,Male,Mule Deer,2009
14832,Negative,18524,Alberta,Male,Mule Deer,2009
14833,Negative,18552,Alberta,Male,Mule Deer,2009
14834,Negative,18654,Alberta,Male,Mule Deer,2009
14835,Negative,18688,Alberta,Male,Mule Deer,2009
14836,Negative,18714,Alberta,Male,Mule Deer,2009
14837,Negative,18746,Alberta,Male,Mule Deer,2009
14838,Negative,18747,Alberta,Male,Mule Deer,2009
14839,Negative,18763,Alberta,Male,Mule Deer,2009
14840,Negative,18797,Alberta,Male,Mule Deer,2009
14841,Negative,18818,Alberta,Male,Mule Deer,2009
14842,Negative,18891,Alberta,Male,Mule Deer,2009
14843,Negative,22279,Alberta,Male,White-tailed Deer,2009
14844,Negative,22379,Alberta,Male,White-tailed Deer,2009
14845,Negative,22406,Alberta,Male,White-tailed Deer,2009
14846,Negative,22440,Alberta,Male,White-tailed Deer,2009
14847,Negative,22458,Alberta,Male,White-tailed Deer,2009
14848,Negative,22483,Alberta,Male,White-tailed Deer,2009
14849,Negative,22484,Alberta,Male,White-tailed Deer,2009
14850,Negative,22516,Alberta,Male,White-tailed Deer,2009
14851,Negative,22569,Alberta,Male,White-tailed Deer,2009
14852,Negative,22584,Alberta,Male,White-tailed Deer,2009
14853,Negative,22596,Alberta,Male,White-tailed Deer,2009
14854,Negative,22597,Alberta,Male,White-tailed Deer,2009
14855,Negative,22619,Alberta,Male,White-tailed Deer,2009
14856,Negative,22682,Alberta,Male,White-tailed Deer,2009
14857,Negative,22686,Alberta,Male,White-tailed Deer,2009
14858,Negative,22723,Alberta,Male,White-tailed Deer,2009
14859,Negative,22744,Alberta,Male,White-tailed Deer,2009
14860,Negative,22760,Alberta,Male,White-tailed Deer,2009
14861,Negative,22814,Alberta,Male,White-tailed Deer,2009
14862,Negative,22832,Alberta,Male,White-tailed Deer,2009
14863,Negative,22854,Alberta,Male,White-tailed Deer,2009
14864,Negative,22865,Alberta,Male,White-tailed Deer,2009
14865,Negative,22887,Alberta,Male,White-tailed Deer,2009
14866,Negative,22890,Alberta,Male,White-tailed Deer,2009
14867,Negative,22895,Alberta,Male,White-tailed Deer,2009
14868,Negative,22952,Alberta,Male,White-tailed Deer,2009
14869,Negative,22962,Alberta,Male,White-tailed Deer,2009
14870,Negative,22963,Alberta,Male,White-tailed Deer,2009
14871,Negative,23019,Alberta,Male,White-tailed Deer,2009
14872,Negative,23069,Alberta,Male,White-tailed Deer,2009
14873,Negative,23120,Alberta,Male,White-tailed Deer,2009
14874,Negative,23121,Alberta,Male,White-tailed Deer,2009
14875,Negative,23145,Alberta,Male,White-tailed Deer,2009
14876,Negative,23167,Alberta,Male,White-tailed Deer,2009
14877,Negative,23207,Alberta,Male,White-tailed Deer,2009
14878,Negative,23213,Alberta,Male,White-tailed Deer,2009
14879,Negative,23241,Alberta,Male,White-tailed Deer,2009
14880,Negative,6763,Alberta,Female,Mule Deer,2009
14881,Negative,6792,Alberta,Female,Mule Deer,2009
14882,Negative,6823,Alberta,Female,Mule Deer,2009
14883,Negative,6824,Alberta,Female,Mule Deer,2009
14884,Negative,6947,Alberta,Female,Mule Deer,2009
14885,Negative,7005,Alberta,Female,Mule Deer,2009
14886,Negative,7006,Alberta,Female,Mule Deer,2009
14887,Negative,7016,Alberta,Female,Mule Deer,2009
14888,Negative,7017,Alberta,Female,Mule Deer,2009
14889,Negative,7392,Alberta,Female,Mule Deer,2009
14890,Negative,7545,Alberta,Female,Mule Deer,2009
14891,Negative,7629,Alberta,Female,Mule Deer,2009
14892,Negative,7631,Alberta,Female,Mule Deer,2009
14893,Negative,7741,Alberta,Female,Mule Deer,2009
14894,Negative,7816,Alberta,Female,Mule Deer,2009
14895,Negative,7855,Alberta,Female,Mule Deer,2009
14896,Negative,7856,Alberta,Female,Mule Deer,2009
14897,Negative,7912,Alberta,Female,Mule Deer,2009
14898,Negative,7913,Alberta,Female,Mule Deer,2009
14899,Negative,7921,Alberta,Female,Mule Deer,2009
14900,Negative,7954,Alberta,Female,Mule Deer,2009
14901,Negative,7966,Alberta,Female,Mule Deer,2009
14902,Negative,8049,Alberta,Female,Mule Deer,2009
14903,Negative,8058,Alberta,Female,Mule Deer,2009
14904,Negative,8178,Alberta,Female,Mule Deer,2009
14905,Negative,8185,Alberta,Female,Mule Deer,2009
14906,Negative,8186,Alberta,Female,Mule Deer,2009
14907,Negative,12489,Alberta,Female,White-tailed Deer,2009
14908,Negative,12674,Alberta,Female,White-tailed Deer,2009
14909,Negative,12722,Alberta,Female,White-tailed Deer,2009
14910,Negative,12811,Alberta,Female,White-tailed Deer,2009
14911,Negative,12834,Alberta,Female,White-tailed Deer,2009
14912,Negative,12842,Alberta,Female,White-tailed Deer,2009
14913,Negative,13029,Alberta,Female,White-tailed Deer,2009
14914,Negative,13045,Alberta,Female,White-tailed Deer,2009
14915,Negative,17965,Alberta,Male,Mule Deer,2009
14916,Negative,18092,Alberta,Male,Mule Deer,2009
14917,Negative,18124,Alberta,Male,Mule Deer,2009
14918,Negative,18230,Alberta,Male,Mule Deer,2009
14919,Negative,18242,Alberta,Male,Mule Deer,2009
14920,Negative,18334,Alberta,Male,Mule Deer,2009
14921,Negative,18338,Alberta,Male,Mule Deer,2009
14922,Negative,18368,Alberta,Male,Mule Deer,2009
14923,Negative,18378,Alberta,Male,Mule Deer,2009
14924,Negative,18647,Alberta,Male,Mule Deer,2009
14925,Negative,18658,Alberta,Male,Mule Deer,2009
14926,Negative,18670,Alberta,Male,Mule Deer,2009
14927,Negative,18692,Alberta,Male,Mule Deer,2009
14928,Negative,18701,Alberta,Male,Mule Deer,2009
14929,Negative,18727,Alberta,Male,Mule Deer,2009
14930,Negative,18743,Alberta,Male,Mule Deer,2009
14931,Negative,18832,Alberta,Male,Mule Deer,2009
14932,Negative,22305,Alberta,Male,White-tailed Deer,2009
14933,Negative,22315,Alberta,Male,White-tailed Deer,2009
14934,Negative,22378,Alberta,Male,White-tailed Deer,2009
14935,Negative,22390,Alberta,Male,White-tailed Deer,2009
14936,Negative,22561,Alberta,Male,White-tailed Deer,2009
14937,Negative,22638,Alberta,Male,White-tailed Deer,2009
14938,Negative,22733,Alberta,Male,White-tailed Deer,2009
14939,Negative,22734,Alberta,Male,White-tailed Deer,2009
14940,Negative,22753,Alberta,Male,White-tailed Deer,2009
14941,Negative,22811,Alberta,Male,White-tailed Deer,2009
14942,Negative,22830,Alberta,Male,White-tailed Deer,2009
14943,Negative,22833,Alberta,Male,White-tailed Deer,2009
14944,Negative,22839,Alberta,Male,White-tailed Deer,2009
14945,Negative,22881,Alberta,Male,White-tailed Deer,2009
14946,Negative,22898,Alberta,Male,White-tailed Deer,2009
14947,Negative,22927,Alberta,Male,White-tailed Deer,2009
14948,Negative,22956,Alberta,Male,White-tailed Deer,2009
14949,Negative,23015,Alberta,Male,White-tailed Deer,2009
14950,Negative,23022,Alberta,Male,White-tailed Deer,2009
14951,Negative,23061,Alberta,Male,White-tailed Deer,2009
14952,Negative,23068,Alberta,Male,White-tailed Deer,2009
14953,Negative,23116,Alberta,Male,White-tailed Deer,2009
14954,Negative,23208,Alberta,Male,White-tailed Deer,2009
14955,Negative,23223,Alberta,Male,White-tailed Deer,2009
14956,Negative,23253,Alberta,Male,White-tailed Deer,2009
14957,Negative,7235,Alberta,Female,Mule Deer,2009
14958,Negative,7328,Alberta,Female,Mule Deer,2009
14959,Negative,7329,Alberta,Female,Mule Deer,2009
14960,Negative,7391,Alberta,Female,Mule Deer,2009
14961,Negative,7449,Alberta,Female,Mule Deer,2009
14962,Negative,7531,Alberta,Female,Mule Deer,2009
14963,Negative,7637,Alberta,Female,Mule Deer,2009
14964,Negative,7721,Alberta,Female,Mule Deer,2009
14965,Negative,7814,Alberta,Female,Mule Deer,2009
14966,Negative,7815,Alberta,Female,Mule Deer,2009
14967,Negative,7840,Alberta,Female,Mule Deer,2009
14968,Negative,7904,Alberta,Female,Mule Deer,2009
14969,Negative,8042,Alberta,Female,Mule Deer,2009
14970,Negative,8043,Alberta,Female,Mule Deer,2009
14971,Negative,8136,Alberta,Female,Mule Deer,2009
14972,Negative,8206,Alberta,Female,Mule Deer,2009
14973,Negative,12599,Alberta,Female,White-tailed Deer,2009
14974,Negative,12865,Alberta,Female,White-tailed Deer,2009
14975,Negative,12975,Alberta,Female,White-tailed Deer,2009
14976,Negative,13020,Alberta,Female,White-tailed Deer,2009
14977,Negative,17899,Alberta,Male,Mule Deer,2009
14978,Negative,18075,Alberta,Male,Mule Deer,2009
14979,Negative,18229,Alberta,Male,Mule Deer,2009
14980,Negative,18557,Alberta,Male,Mule Deer,2009
14981,Negative,18566,Alberta,Male,Mule Deer,2009
14982,Negative,18575,Alberta,Male,Mule Deer,2009
14983,Negative,18582,Alberta,Male,Mule Deer,2009
14984,Negative,18618,Alberta,Male,Mule Deer,2009
14985,Negative,18646,Alberta,Male,Mule Deer,2009
14986,Negative,18693,Alberta,Male,Mule Deer,2009
14987,Negative,18700,Alberta,Male,Mule Deer,2009
14988,Negative,18719,Alberta,Male,Mule Deer,2009
14989,Negative,18762,Alberta,Male,Mule Deer,2009
14990,Negative,18810,Alberta,Male,Mule Deer,2009
14991,Negative,18833,Alberta,Male,Mule Deer,2009
14992,Negative,22222,Alberta,Male,White-tailed Deer,2009
14993,Negative,22273,Alberta,Male,White-tailed Deer,2009
14994,Negative,22477,Alberta,Male,White-tailed Deer,2009
14995,Negative,22485,Alberta,Male,White-tailed Deer,2009
14996,Negative,22508,Alberta,Male,White-tailed Deer,2009
14997,Negative,22522,Alberta,Male,White-tailed Deer,2009
14998,Negative,22583,Alberta,Male,White-tailed Deer,2009
14999,Negative,22616,Alberta,Male,White-tailed Deer,2009
15000,Negative,22782,Alberta,Male,White-tailed Deer,2009
15001,Negative,22838,Alberta,Male,White-tailed Deer,2009
15002,Negative,22938,Alberta,Male,White-tailed Deer,2009
15003,Negative,22961,Alberta,Male,White-tailed Deer,2009
15004,Negative,22971,Alberta,Male,White-tailed Deer,2009
15005,Negative,22976,Alberta,Male,White-tailed Deer,2009
15006,Negative,22977,Alberta,Male,White-tailed Deer,2009
15007,Negative,23175,Alberta,Male,White-tailed Deer,2009
15008,Negative,23230,Alberta,Male,White-tailed Deer,2009
15009,Negative,6841,Alberta,Female,Mule Deer,2009
15010,Negative,6842,Alberta,Female,Mule Deer,2009
15011,Negative,7081,Alberta,Female,Mule Deer,2009
15012,Negative,7488,Alberta,Female,Mule Deer,2009
15013,Negative,12691,Alberta,Female,White-tailed Deer,2009
15014,Negative,12749,Alberta,Female,White-tailed Deer,2009
15015,Negative,12771,Alberta,Female,White-tailed Deer,2009
15016,Negative,12775,Alberta,Female,White-tailed Deer,2009
15017,Negative,12779,Alberta,Female,White-tailed Deer,2009
15018,Negative,12814,Alberta,Female,White-tailed Deer,2009
15019,Negative,12824,Alberta,Female,White-tailed Deer,2009
15020,Negative,18326,Alberta,Male,Mule Deer,2009
15021,Negative,18503,Alberta,Male,Mule Deer,2009
15022,Negative,18556,Alberta,Male,Mule Deer,2009
15023,Negative,18757,Alberta,Male,Mule Deer,2009
